Target,Toxins,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,primary,PK,Part 2: AUC0-tz of Donepezil,At approximate 2 hours (h) prior to firs,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,primary,PK,Part 2: Cmax of Donepezil,At approximate 2 hours (h) prior to firs,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,secondary,PK,Part 1: AUC 0-infinity of BI 409306,At approximate 3 hours (h) prior to admi,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,secondary,PK,Part 2: AUC0-infinity of Donepezil,At approximate 2 hours (h) prior to firs,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 Single-Rising Dose (SRD) Non-Japanese Participants,Pre-dose on Day 1 and at multiple time p,Alzheimer Disease; Healthy Volunteers,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 Multiple-Rising Dose (MRD) Non-Japanese Participants [Day 1],Pre-dose on Day 1 and multiple time poin,Alzheimer Disease; Healthy Volunteers,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 MRD Non-Japanese Participants [Day 21],Pre-dose on Day 21 and multiple time poi,Alzheimer Disease; Healthy Volunteers,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 MRD Non-Japanese Participants [Day 1],Pre-dose on Day 1 and multiple time poin,Alzheimer Disease; Healthy Volunteers,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 MRD Non-Japanese Participants [Day 8],Pre-dose on Day 8 and multiple time poin,Alzheimer Disease; Healthy Volunteers,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02769065,https://clinicaltrials.gov/study/NCT02769065,Phase 1,Terminated,primary,PK,Tmax: Time of First Occurrence of Cmax for TAK-071 MRD Non-Japanese Participants [Day 28],Pre-dose on Day 28 and multiple time poi,Alzheimer Disease; Healthy Volunteers,Yes
