Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
DDC,Carbidopa,NCT01533116,https://clinicaltrials.gov/study/NCT01533116,Phase 1,Completed,primary,PK,Cmax - Maximum Plasma Concentration,pre-dose and at the following times post,Parkinson Disease,Yes
DDC,Carbidopa,NCT01533116,https://clinicaltrials.gov/study/NCT01533116,Phase 1,Completed,primary,PK,Tmax - Time to Maximum Plasma Concentration,pre-dose and at the following times post,Parkinson Disease,Yes
DDC,Carbidopa,NCT01533116,https://clinicaltrials.gov/study/NCT01533116,Phase 1,Completed,primary,PK,AUC0-t - Area Under the Plasma Concentration-time Curve to Last Measurable Time Point,pre-dose and at the following times post,Parkinson Disease,Yes
DDC,Carbidopa,NCT01568034,https://clinicaltrials.gov/study/NCT01568034,Phase 2,Completed,primary,PK,Cmax - Maximum Plasma Concentration Day 3,Day 3,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01568034,https://clinicaltrials.gov/study/NCT01568034,Phase 2,Completed,primary,PK,Tmax = Time to Cmax Day 3,Day 3,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01568034,https://clinicaltrials.gov/study/NCT01568034,Phase 2,Completed,secondary,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve From Time 0 to 6 Hours Post-dose (Day 3),Day 3,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01568047,https://clinicaltrials.gov/study/NCT01568047,Phase 2,Completed,primary,PK,Cmax - Observed Maximum Concentration,28 days,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01568047,https://clinicaltrials.gov/study/NCT01568047,Phase 2,Completed,secondary,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to to 6 h Postdose (AUC [0-6]),28 days,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01617135,https://clinicaltrials.gov/study/NCT01617135,Phase 2,Completed,secondary,PK,Pharmacokinetics,3 hours post-dose,Idiopathic Parkinson's Disease,Yes
DDC,Carbidopa,NCT01688089,https://clinicaltrials.gov/study/NCT01688089,Phase 1,Completed,secondary,PK,Area under the plasma concentration curve (AUC),"0, 0.16, 0.33, 0.5, 0.75, 1, 1.5, 2, 2,",Healthy,No
DDC,Carbidopa,NCT01725802,https://clinicaltrials.gov/study/NCT01725802,Phase 1,Completed,secondary,PK,"LD Half life (t½ ), time of LD plasma concentrations maintained above 1000 ng/ml, trough levels, Cmax, Tmax and AUC",Up to 2 days,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01840423,https://clinicaltrials.gov/study/NCT01840423,Phase 1,Completed,secondary,PK,Area under the plasma concentration curve (AUC),"0, 0.16, 0.33, 0.5, 0.75, 1, 1.5, 2, 2,",Healthy,No
